New column 0,New column 1,New column 2,New column 3,New column 3 Url
"HP Laserjet Tank 1005w Printer for Home & SMBs: 3-in-1 Print+Copy+Scan, Mess-Free 15 Sec Toner Refill, Lowest Cost/Page-B&W Prints, Dual Band Wi-Fi, Smart Guided Buttons, Mobile Printing.",,4.0 out of 5 stars,361,https://www.amazon.in/HP-Laserjet-Tank-1005w-Printer/dp/B09T3QG1ZN/ref=sr_1_37?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356081&sprefix=hp+print%2Caps%2C595&sr=8-37#customerReviews
"HP Laserjet Tank 1020w Printer for Business & Home, Mess-Free 15 Sec Toner Reload, Lowest Cost/Page for B&W Prints, Compact, Dual Band Wi-Fi, Smart Guided Buttons, Print+Copy+Scan from Phone.","17,033",3.9 out of 5 stars,130,https://www.amazon.in/HP-Laserjet-Printer-Business-Mess-Free/dp/B09T3PRS8T/ref=sr_1_40?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356081&sprefix=hp+print%2Caps%2C595&sr=8-40#customerReviews
"HP Smart Tank 581 All-in-one WiFi Colour Printer with 2 Extra Black Ink Bottles(Upto 18000 Black and 6000 Colour Prints) and 1 Year Extended Warranty with PHA Coverage.Print,Scan,Copy for Office/Home",,3.9 out of 5 stars,161,https://www.amazon.in/HP-Printer-Extended-Warranty-Coverage-Print/dp/B0C1JSPZ51/ref=sr_1_41?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356081&sprefix=hp+print%2Caps%2C595&sr=8-41#customerReviews
"HP Smart Tank 520 All-in-one Colour Printer with 1 Extra Black Ink Bottle (Upto 12000 Black and 6000 Colour Prints) and 1 Year Extended Warranty with PHA Coverage. -Print, Scan & Copy for Office/Home",,4.1 out of 5 stars,"1,608",https://www.amazon.in/HP-Printer-Extended-Warranty-Coverage/dp/B0BN215GT7/ref=sr_1_42?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356081&sprefix=hp+print%2Caps%2C595&sr=8-42#customerReviews
"HP 115 Color Single Function Ink Tank Printer, per Page (10p for B/W and 20p for Colour)",,3.9 out of 5 stars,"1,845",https://www.amazon.in/HP-Color-Single-Function-Printer/dp/B07G6PP3V3/ref=sr_1_43?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356081&sprefix=hp+print%2Caps%2C595&sr=8-43#customerReviews
"HP Laserjet 1008w Single Function Monochrome Laser Wi-Fi Printer for Home/Office, Compact Design, Fast Printing",,,,
"HP Laserjet Tank 1005 Printer for Home & SMB: 3-in-1 Print, Copy, Scan, Mess-Free 15 Sec Toner Refill, Lowest Cost Per Page for B&W Prints, Compact, Smart Guided Buttons","21,094",3.8 out of 5 stars,40,https://www.amazon.in/HP-Laserjet-Tank-1005-Printer/dp/B09T3M8Q27/ref=sr_1_45?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356081&sprefix=hp+print%2Caps%2C595&sr=8-45#customerReviews
"HP Smart Tank 675 All-in-one Printer with Built-in Wi-Fi, Mobile Printing, Automatic Two-Sided Printing, and Print speeds up to 12 ppm (Black) and 7 ppm (Color).","18,599",3.4 out of 5 stars,28,https://www.amazon.in/HP-Smart-Tank-All-Printer/dp/B09PW8D757/ref=sr_1_46?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356081&sprefix=hp+print%2Caps%2C595&sr=8-46#customerReviews
(Renewed) HP DeskJet 2331 All-in-One Inkjet Colour Printer,"3,484",2.5 out of 5 stars,23,https://www.amazon.in/Renewed-HP-DeskJet-Inkjet-Printer/dp/B08M48R6CJ/ref=sr_1_47?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356081&sprefix=hp+print%2Caps%2C595&sr=8-47#customerReviews
HP DeskJet 2332 All-in-One Inkjet Colour Printer with 805 Tri-Color Original Ink Cartridge,"4,836",3.6 out of 5 stars,"3,591",https://www.amazon.in/HP-DeskJet-Tri-Color-Original-Cartridge/dp/B08PBTTHBK/ref=sr_1_51?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356085&sprefix=hp+print%2Caps%2C595&sr=8-51#customerReviews
